,Date,Volume,Turnover,Open,High,Low,Close
5,107/05/09,"35,597,934","8,188,991,070",228.50,232.00,228.50,229.50
6,107/05/10,"27,530,377","6,337,230,710",231.00,231.50,229.00,229.50
7,107/05/11,"30,693,910","7,138,428,530",232.00,234.00,230.50,233.00
8,107/05/14,"23,577,637","5,502,726,121",234.50,234.50,232.50,233.00
9,107/05/15,"23,771,769","5,493,470,187",233.50,234.00,229.50,230.50
10,107/05/16,"14,834,107","3,408,682,013",229.50,230.50,228.50,230.50
11,107/05/17,"27,702,737","6,322,484,836",231.00,231.50,226.50,226.50
12,107/05/18,"28,187,541","6,327,474,145",225.50,227.50,223.50,223.50
13,107/05/21,"16,417,815","3,751,438,835",225.00,230.00,225.00,229.00
14,107/05/22,"22,422,097","5,175,634,112",230.00,233.50,229.00,229.00
15,107/05/23,"26,737,899","6,146,178,621",231.50,231.50,228.50,228.50
16,107/05/24,"13,450,610","3,082,675,140",229.50,230.00,228.50,229.00
17,107/05/25,"16,486,294","3,769,909,946",228.50,229.50,228.00,228.50
18,107/05/28,"17,673,270","4,020,203,060",229.50,230.00,226.50,227.00
19,107/05/29,"25,770,776","5,782,293,276",226.50,226.50,223.50,225.00
20,107/05/30,"49,667,788","10,997,306,304",224.00,224.00,220.50,221.00
21,107/05/31,"96,587,458","21,553,655,265",221.50,224.00,220.50,224.00
0,107/06/01,"36,652,094","8,209,412,370",224.50,226.50,224.00,224.00
1,107/06/04,"31,257,480","7,131,988,670",227.50,229.00,227.00,229.00
2,107/06/05,"27,714,384","6,329,201,896",230.00,230.00,226.50,229.00
3,107/06/06,"30,375,441","6,961,135,060",229.00,230.00,227.00,230.00
4,107/06/07,"25,277,266","5,809,345,446",231.00,231.50,228.00,230.00
5,107/06/08,"24,192,851","5,493,234,408",229.00,229.00,226.00,227.00
6,107/06/11,"22,028,933","4,980,629,259",226.50,227.00,225.00,226.00
7,107/06/12,"30,189,360","6,837,374,510",225.00,229.00,224.00,229.00
